"Comment","Designator","Footprint","LCSC Part #"
"Ferrite_Bead","FB1","805","C1015"
"10n","C3","402","C15195"
"100n","C4,C5,C7,C10","402","C1525"
"330","R12,R13,R14","805","C17630"
"Green LED","D3","805","C2297"
"4.7u","C8,C9","402","C23733"
"100k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R11","402","C25741"
"5.1k","R10","402","C25905"
"TS-1187A-C-D-B","SW1,SW2,SW3,SW4","SMD-SW-4_5.1x5.1x2.0","C318888"
"White LED","D1,D2","805","C34499"
"1u","C1,C2,C6","402","C52923"
"XC6206P332MR","U1","SOT-23-3L","C5446"
"USBLC6-2SC6","U2","SOT-23-6L","C7519"
"STM32F072CBT6","U3","LQFP-48_7.0x7.0x0.5P","C81720"
