"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","132.5625","-44.55","Top","0.0"
"C2","126.83749999999999","-43.75","Top","90.0"
"C3","108.2225","-47.58","Top","90.0"
"C4","120.6625","-52.21","Top","270.0"
"C5","121.6625","-42.574999999999996","Top","90.0"
"C6","109.2225","-47.565","Top","90.0"
"C7","111.2375","-42.25","Top","180.0"
"C8","120.6625","-42.574999999999996","Top","90.0"
"C9","121.6625","-52.21","Top","270.0"
"C10","125.5225","-42.65","Top","270.0"
"D1","82.1625","-42.75","Top","0.0"
"D2","97.1625","-42.75","Top","0.0"
"D3","131.1625","-59.75","Top","0.0"
"FB1","133.3375","-42.949999999999996","Top","0.0"
"J1","155.1625","-51.75","Top","90.0"
"J2","127.1625","-48.75","Top","90.0"
"J3","114.64999999999999","-117.5375","Top","180.0"
"J4","74.33749999999999","-58.8375","Top","90.0"
"R1","73.85249999999999","-56.21","Top","180.0"
"R2","76.3925","-56.21","Top","180.0"
"R3","78.93249999999999","-56.21","Top","180.0"
"R4","81.4725","-56.21","Top","180.0"
"R5","84.0125","-56.21","Top","180.0"
"R6","86.5525","-56.21","Top","180.0"
"R7","89.0925","-56.21","Top","180.0"
"R8","91.6325","-56.21","Top","180.0"
"R9","94.1725","-56.21","Top","180.0"
"R10","124.4225","-42.65","Top","270.0"
"R11","96.71249999999999","-56.21","Top","180.0"
"R12","78.1625","-42.75","Top","0.0"
"R13","93.1625","-42.75","Top","0.0"
"R14","127.1625","-59.75","Top","0.0"
"SW1","137.1625","-60.18","Top","180.0"
"SW2","65.1625","-48.849999999999994","Top","0.0"
"SW3","80.1625","-48.849999999999994","Top","0.0"
"SW4","95.1625","-48.849999999999994","Top","0.0"
"T1","60.75","-66.08749999999999","Top","270.0"
"U1","129.3375","-43.75","Top","180.0"
"U2","138.36249999999998","-43.75","Top","180.0"
"U3","116.0","-47.0","Top","270.0"
